Word,Meaning
confidence,"확신,자신;신임"
confident,"확신하는, 자신 있는"
confidential,"기밀의, 내밀한"
confidentiality,"기밀,비밀"
configuration,배치
confine,"제한하다, ~에 한정시키다"
confirm,확인하다
confirmation,"확인, 확증"
confiscate,"압수하다, 몰수하다"
confiscation,"몰수, 압수"
conflict,"대립,충돌,갈등"
conflict of interest,이해관계의 충돌
conflict with,"~과 상충되다, 충돌하다"
conform,"(규칙 등에) 부합하다, 따르다"
confront,"직면하다, 맞서다"
confuse,혼란시키다
confused,"혼란스러운, 당황한"
confusion,혼란
congested,"(사람·교통이) 붐비는, 혼잡한"
congestion,"(교통의)체증, 혼잡"
conglomerate,거대복합기업
congratulate,축하하다
conjunction,"연합, 공동"
connect,~을 연결하다
connecting flight,연결 항공편
conscious,"알고 있는, 자각하고 있는"
consecutive,연속적인
consensus,"여론, 일치된 의견"
consent,"동의, 허락"
consenting,"동의하는, 승낙하는"
consequence,결과
consequently,"그 결과, 따라서"
conservation,보존
conserve,"보존하다, 유지하다"
consider,고려하다
considerable,(정도나 양이) 상당한
considerably,"상당히, 많이"
considerate,"사려 깊은, 배려하는"
consideration,"고려, 숙고"
consignment,위탁 판매
consist,"구성되다, 이루어지다"
consist of,~으로 이루어져 있다
consistent,"일치하는, 지속적인, 한결같은"
consistently,"항상, 일관되게"
consolidate,(권력·지휘 등을) 강화하다
conspicuously,"눈에 띄게, 두드러지게"
constant,"지속적인, 끊임없이 계속하는"
constituency,"단골, 고객층; 선거구, 유권자"
constitute,~을 구성하다
constraint,제한
construct,건설하다
construction,"건설, 건축"
constructive,건설적인
constructively,건설적으로
consulate,영사관
consult,"상의하다, 상담하다"
consultant,"고문,컨설턴트"
consultation,"상담, 협의"
consulting firm,자문회사
consumer,소비자
consumption,"소비(량), 소모"
contact,"~와 연락하다, 
(상업적 목적으로)교섭하고 있는 사람"
contagious,전염성의
contain,포함하다
container,"용기, 그릇"
contaminate,오염시키다
contemporary,"동시대의, 현대의, 당대의"
contend,"(문제에)대처하다, (곤란과) 싸우다"
contend with,~와 다투다
contender,"도전자, 경쟁자"
content,내용물
contest,"대회, 시합"
contestant,"경기자, 경쟁자"
context,"문맥, (어떤 일의)정황, 배경"
contingency,"불의의 사태, 뜻밖의 일"
continually,계속해서
continued,지속적인
continuity,지속성
contract,"계약(서),계약하다,수축하다"
contractor,"계약자, 도급업자"
contrary,반대
contribute,"기여하다, 공헌하다"
contribution to,~에 대한 기여
contributor,"기고가, 공헌자"
contrive to do,용케 ~해내다
control,"관리, 통제, 관리하다, 통제하다"
controversial,논쟁의 여지가 있는
controversy,논란
convene,"(회원 등이) 모이다, (회의가) 개최되다"
convenience,"편의, 편리"
convenient,"편리한, 간편한"
conveniently,편리하게
convention,회의
conventional ,"흔히 있는, 전통적인"
conversation,대화
conversationally,"담화로, 회화체로"
converse,대화하다
conversely,"거꾸로, 반대로"
conversion,전환
convert,"전환하다, 변환하다"
convert A to B,A를 B로 바꾸다
convey,(용건을) 전달하다
convince,"납득시키다, 확신시키다"
convincing,설득력 있는
cookbook,요리책
cooking utensil (= cookware),조리 기구
cooperate,"협력하다, 협동하다"
cooperative,"협력적인, 협동의"
cooperatively,"협력하여,협조적으로"
coordinate,조정하다
coordination,조정
coordinator,조정자
cope with,~에 대처하다
copy editor,원고 정리 편집자
copy machine,복사기
copyright,저작권
cordially,"진심으로, 성심성의껏"
corner,"모퉁이, 구석"
corporation,"주식회사, 법인"
correct,"맞는, 정정하다"
correction,"정정, 수정"
corrective,(이전에 잘못된 것을) 바로잡는
correctly,"바르게, 정확하게"
correlation,상호관계
correspond,"일치하다, 부합하다"
correspondence,"편지, 통신문"
correspondent,"특파원, 통신원"
corridor,복도
corrosion,부식
corruption,"부정, 부패"
cosmetic,"미용의, 화장의"
cost,"비용, (비용)이 들다"
cost analysis,비용분석
cost estimate,원가 견적
cost-effective,비용 효율적인
costly,"비용이 많이 드는, 손실이 큰"
costume,"복장, 의상"
council,"이사회, 의회"
counselor,상담원
count on,"~을 믿다, ~에 의지하다"
counter,"계산대, 반대의"
counterfeit,"가짜, 모조품"
counteroffer,"수정 제안, 대안"
counterpart,"상대방, 대응물"
countertop,"계산대, 조리대"
countryside,"시골, 지방"
courier,급송 택배
courier service,택배회사
course of study,교육과정
courteous,예의 바른
courteousness,"예의 바름, 공손함"
courtyard,안뜰
cover,"포함하다, 지불하다, 덮다"
cover letter,자기소개서
cover one's shift,~대신 근무하다
coverage,"(보험의) 보상 범위, (신문 등의) 보도, 취재 범위"
coworker,"동료, 협력자"
cozy,아늑한
crack,"금 가게 하다, 금, 틈"
craft,기술
craftsmanship,솜씨
crash,(주가의) 폭락
crate,나무 상자
creation,창조
creative,"창조적인, 독창적인"
credential,"신임장, 자격 증명서"
credible,"신용할 수 있는, 확실한"
credit,신용
credit A with B(credit B to A),B를 A의 공으로 믿다
credit card number,신용 카드 번호
credit limit,신용대출 한도액
credit money to one's account,~의 계좌에 돈을 입금하다
creditable,"훌륭한, 칭찬할만한"
creditor,채권자
crew,승무원
criteria,기준(criterion의 복수형)
critic,비평가
critical,"비판적인, 중요한, 위기의"
criticize,"비평하다,비난하다"
crop,"농작물, 산출량"
cross one's arms,팔짱 끼다
cross the street,길을 건너다
crosswalk,횡단보도
crowded,"붐비는, 복잡한"
crucial,중요한
crude,"천연 그대로의, 미숙한"
crude oil,원유
cruise,유람선 여행
cuisine,(독특한)요리
culinary,요리의
culminate in,결국 ~이 되다
cultivation,"우호 증진, 양성"
cupboard,찬장
curb,억제하다
cure,"치료, 치료하다"
curious,"호기심 많은, 궁금해하는"
currency,통화
currency exchange,환전
current,"현재의, 현행의, 통용되는"
currently,현재
curriculum,교과 과정
curriculum vitae,이력서
curtail,"~을 줄이다, 삭감하다"
curved,"구부러진, 곡선 모양의"
custom,"관습, 풍습"
custom-built,주문 제작된
custom-made,주문 제작한
customarily,"관례상, 습관적으로"
customary,통상적인
customer,고객
customer service representative,고객 서비스 담당 직원
customer survey,고객 설문 조사
customize,주문에 응하여 만들다
customs,세관
cut back,"줄이다, 삭감하다"
cut benefits,"복리후생을 줄이다, 수당을 줄이다"
cut costs,비용을 줄이다
cut down,~을 줄이다
cut the grass,잔디를 깎다
cutback,삭감
cutting-edge,최첨단의
cyclist,자전거 타는 사람
daily,"매일의, 날마다, 매일"
dairy products,유제품
damage,"피해, 손해, (물건을) 손상시키다"
damaged,"손상된, 손해를 입은"
data,자료
date,날짜
date back to,(시기가)~까지 거슬러 올라가다
day after tomorrow,모레
day-to-day operation,일상업무
deadline,"마감일, 마감 시간"
deadlock,교착 상태
deal,"처리하다, 거래하다, 분배하다, 거래"
dealer,"판매업자, 상인"
dean,학장
debate,토론하다
debit card,(은행) 직불카드
debt,빚
decade,10년
decide on,~으로 결정하다
decidedly,"확실히, 명백히; 단호히"
decision,"결정, 판단"
decisive,결정적인; 확고한
deck,갑판
declare,(세관에서) 신고하다
decline,"감소,하락,(초대·신청을)거절하다,감소하다,줄다"
decorate,장식하다
decoration,"장식, 장식물"
decorative item,장식품
decrease,"감소, 감소하다"
dedicate,"전념하다,헌신하다,바치다"
dedicated,"(목표 등에) 전념하는, 헌신적인"
dedication,헌신
dedication ceremony,"준공식, 헌당식"
deduct,"공제하다, 빼다"
deep end,수심이 깊은 쪽
default,"태만, 불이행"
defeat,"패배시키다, 실패"
defect,결함
defective,결함이 있는
defensive,방어적인
defer,"연기하다, 미루다"
defiance,반항
deficient,"부족한, 불충분한"
deficit,"적자, 부족액"
define,"규정하다,정의하다"
definite,"분명한,명확한"
deflate,(물가를) 끌어내리다
defy,"저항하다, (설명 · 묘사 등이) 거의 불가능하다"
degrade,(품위·지위 등을) 떨어 뜨리다
degree,학위
dehydration,탈수(증)
delay,"연기하다, ~을 뒤로 미루다"
delegate,"(권한 등을) 위임하다, 대표"
delete,삭제하다
deliberate,"고의적인, 신중한, 생각이 깊은"
deliberately,고의로
deliberation,"토의, 심의"
delicate,"민감한, 세심한 주의가 필요한"
delicious,맛있는
delight,기쁨
delighted,"기뻐하는, 즐거워하는"
delinquent,"(세금 등이) 연체된, 미불의"
deliver,"배달하다, (연설을)하다"
delivery,배달
delivery option,배송 선택 사항
demand,"수요, 요구하다"
demanding,"요구가 많은, 힘든"
demolish,파괴하다
demolition,"파괴, 폭파"
demonstrate,"증명하다, (모형 〮실험 등으로) 설명하다"
demonstration,"설명, 드러냄, 시연"
demote,강등 시키다
dense,"빽빽한, 밀집한"
densely,"빽빽히, 밀집하여"
dental,치과의
deny,부인하다
depart,출발하다
department,(조직 및 기구의) 부서
department store,백화점
departure time,출발 시간
depend on,"~에 달려 있다, ~에게 의존하다"
depict,묘사하다
depiction,"묘사, 서술"
deplete,고갈시키다
depletion,(자원 등의) 고갈
deploy,배치하다
deposit,"입금하다, 예금하다"
deposit slip,예금 전표
depot,"창고, 저장소"
depreciation,"가치 하락, 화폐의 구매력 저하"
depressed,낙담한
depressing,우울한
depression,불황
deprivation,"박탈, 상실"
deputy,대리인
descending,"내려가는, 하향의"
describe,"말로 설명하다, 묘사하다"
description,"(제품 등의) 설명, 해설"
desert,사막
deserve,"~할 만하다, ~할 가치가 있다"
design,"디자인, 설계하다"
designate,"지명하다, 지정하다"
designated,지정된
designation,"지정, 지명"
designed,"계획적인, 고의의"
desirable,"바람직한, 이상적인"
desire,"욕구, 갈망, 원하다, 바라다"
desktop,"탁상용의, 데스크톱 컴퓨터"
despair,절망
desperate,"필사적인, 절망적인"
dessert,후식
destination,목적지
destruction,파괴
detach,"분리하다, 떼다"
detail,세부 사항
detailed,상세한
detect,"간파하다, 탐지하다"
detectable,발견할 수 있는
deter,"단념시키다, 막다"
deteriorate,"악화되다, 나빠지다"
determine,"알아내다, 결정하다, 확정하다"
deterrent,"제지하는 것, 방해물"
detour,우회
devalued,평가 절하된
devastate,황폐 시키다
develop,개발하다
develop into,~으로 발전하다
developer,개발자
development,"개발, 발전"
deviate,"빗나가다, 일탈하다"
deviation,"일탈, 탈선"
device,장치
devise,"고안하다, 발명하다"
devoted,헌신적인
diabetes,당뇨병
diagnosis,진단
dial a number,"전화번호를 돌리다, 전화를 걸다"
dietary,"식이 요법의, 규정식의"
differ,"의견을 달리하다, 다르다"
differently,"다르게, 별도로"
dig with a shovel,삽으로 땅을 파다
digit,숫자
dignitary,고위 인사
diligent,성실한
dilute,희석하다
dimension,"규모, 크기, 차원, 관점"
diminish,감소하다
dine,식사를 하다
diner,식사하는 사람
dining area,식당
dining room,식당
dining supplies,주방용품
diploma,졸업 증서
diplomatic,외교상의
direct,"~에게 길을 안내하다, 가르쳐주다"
direct deposit,은행 자동 이체
direct traffic,교통정리를 하다
direction,"방향,지시,감독"
directive,"지시하는, 지배적인"
directly,곧바로
director,"임원, 책임자"
directory,주소록
dirt,먼지
disadvantage,불이익
disappoint,실망시키다
disappointing,"실망스러운, 실망시키는"
disapproval,반대
disapprove,반대하다
disassemble,분해하다
disaster,재난
discard,버리다
discerning,통찰력이 있는
discharge,방출하다
discipline,훈련
disclose,"공개하다, 드러내다"
disconnected,연결이 끊긴
discontinue,중단하다
discount,할인
discount store,할인 점포
discounted coupon,할인권
discounted rate,할인율
discourage,~를 낙담시키다
discouraging,낙담시키는
discovery,발견
discreet,"신중한, 조심스러운, 분별력 있는"
discrepancy,"불일치, 차이"
discriminate,차별하다
discuss,"논의하다, 토론하다"
discussion,"토론, 토의"
disease,질병
disembark,(비행기∙배에서) 내리다
disguise,"가장하다, 숨기다"
dish,"접시, 요리"
dishwasher,식기세척기
dislike,싫어하다
dismiss,"해임하다, 해고하다"
dismissal,해고
disobedient,"반항하는, 거역하는"
disorient,혼란스럽게 하다
disparately,본질적으로 다르게
dispatch,(소포 등을) 발송하다
dispense,나누어 주다
displace,"대신하다, 옮겨 놓다"
display,"전시하다, 진열하다, 전시, 진열"
display case,"진열 상자, 진열함"
disposal,"처분, 폐기"
dispose,"처분하다, 처리하다"
dispute,"분쟁,논쟁"
disregard,"소홀히 하다, 무시하다"
disrupt,"방해하다, 중단시키다"
disruption,"중단, 혼란"
dissatisfaction,"불만, 불평"
dissatisfied,불만인
dissipate,"낭비하다, 흩뜨리다"
distance,거리
distant,멀리 떨어진
distill,증류하다
distinctive,독특한
distinguish,구별하다
distort,왜곡하다
distract,"(주의를) 산만하게 하다, 빗기게 하다"
distraction,"집중을 방해하는 것, 
머리를 식히게 하는 것"
distress,근심
distribute,"배포하다, 배급하다"
distribution,"분배, 배급"
distributor,분배자; 판매자
district,"지역, 지구"
distrust,"의심하다, 불신"
disturb,방해하다
disturbing,"충격적인, 불안감을 주는, 방해하는"
diverse,다양한
diversified,"다양한, 여러 가지의"
diversify,다양화하다
divert,"우회시키다, 다른 곳으로 돌리다"
divide,"분배하다, 나누다"
dividend,배당금
division,부서
do A a favor,A를 도와주다
do a good job,일을 잘 해내다
do business with,~와 거래하다
do damage,"손상하다, 손해를 입다"
do one's hair,머리 손질하다
do one's utmost,전력을 다하다
dock,"선창,부두"
doctor's appointment,진료 예약
document,"서류, 문서, 기록하다, 문서를 작성하다"
domestic,"국내의, 국산의"
dominant,"지배적인, 우세한"
dominate,"지배하다, 우위를 차지하다"
don't have nerve to do,~할 용기가 없다
donate,기부하다
donation,"기증, 기부"
donor,기증자
door-to-door delivery,택배
doorway,문간
dosage,1회분 복용량
dose,(약의) 1회 복용량
double,두 배로 만들다
double occupancy,2인실 사용
double-sided,양면의
doubtful,"확신이 없는, 의심스러운"
down payment,"계약금, 첫 할부금"
downfall,몰락
downpour,호우
downsize,(인력·규모를) 줄이다
downtown,"시내에서, 도심지로"
downturn,(경기) 침체
draft,"초안을 작성하다, 초안"
drag,~을 끌다
drain,배수하다
dramatic,"멋진, 극적인, 급격한"
dramatically,극적으로
drape,(방 등을 커튼 등으로)장식하다
drastic,"과감한, 급격한"
drastically,"심하게, 과감하게, 철저하게"
draw,"끌다, 끌어당기다"
draw a check,수표를 발행하다
draw a distinction between,~사이에 구별을 짓다
draw on,"~을 이용하다, ~에 의지하다"
draw the line at,"~에 선을 긋다, ~이상은 하지 않다"
draw up,문서를 작성하다
draw up a new agreement,새 계약서를 작성하다
drawback,"약점, 문제점"
drawbridge,도개교(위로 들어올리는 다리)
drawer,서랍
drench,흠뻑 물에 적시다
dress,"의복, 옷을 차려입다"
dress formally,정장을 입다
dressed in suit,정장을 입은
dresser,"화장대, 서랍장"
drift,떠다니다
drive,"(차 등을) 운전하다, 타고 가다, 조종하다"
drive off,"(차를)출발시키다, 몰아내다"
drive up,(값을) 올리다
driven,의욕이 넘치는
driver's license,운전 면허증
driveway,"차도, (집, 차고까지의) 진입로"
driving direction,주행방향
driving force,추진력
drop by,잠깐 들르다
drop off,"갖다주다, 내려놓다"
drought,가뭄
dry cleaner(=drycleaner's),세탁소
dry dishes,접시를 닦다
due,"만기가 된, 지불기일이 된, 
(금전 등이)~에게 마땅히 지급되어야 할"
due date,만기일
dumping,덤핑(투매)
duplicate,사본
durable,"내구성 있는, 튼튼한"
duration,"지속 기간, 지속"
dust,"먼지, 먼지를 털다"
dust off,먼지를 털다
duty,"관세, 세금, 직무, 의무"
duty-free,"관세가 없는, 면세의"
duty-free shop,면세점
dwell,거주하다
dwindle,"줄어들다, 감소되다"
dynamic,활동적인
dysfunction,"기능 장애, 역기능"
e-mail,"이메일, 이메일을 보내다"
eagerly await,간절히 기다리다
eagerness,열의
early,"시간상 이른, 조기의"
earn,"(금전 등을)벌다, (평판을) 받다, 얻다"
ease,"완화시키다, 쉬움, 용이함"
easily,쉽게
easy,"쉬운, 용이한"
eat up,다 먹다
eco-friendly(=environment friendly),환경 친화적인
ecology,"생태, 자연환경"
economic,경제의
economical,"경제적인, 절약되는"
economize,"절약하다, 아끼다"
economy,"경기, 경제"
edge,"우위, 유리함, 가장자리, 끝"
edit,"편집하다, 수정하다"
edition,(간행물의) 판
editorial,"편집자의, 사설의"
effect,"(법률 등의)효력, 효과, 영향, 결과로서 ~을 가져오다"
effective,"효과적인, (법률 등이) 발효되는, 시행되는"
effectively,효과적으로
efficiency,"효율, 능률"
efficient,"(기계·방법 등이) 효과적인, 능률적인"
efficiently,효율적으로
effort,노력
effortlessly,힘들지 않게
elderly,나이 든
elect,선출하다
election,선거
electronically,"컴퓨터 통신망으로, 컴퓨터로"
electronics,"전자 공학, 전자 기술"
elegant,"우아한, 고상한"
elegantly,"우아하게, 고상하게"
elementary,"기본이 되는, 초보의"
elevate,승진시키다
elicit,이끌어내다
eligible,"자격이 있는,적격의"
eliminate,제거하다
eloquent,"웅변을 잘 하는,(연설 등이) 감명을 주는"
elsewhere,"다른 장소에서는, 다른 경우에는"
embargo,"(특정 상품의) 무역 금지, 통상 금지"
embark,"착수하다,나서다"
embedded,"삽입된, 포함된"
embellish,"장식하다, 꾸미다"
embrace,"받아들이다, 포용하다"
embroider,수놓다
emerge,"부상하다, 나타나다"
emergency,"비상시, 비상사태"
emergency evacuation,비상대피
emergency exit,비상구
emergency room,응급실
eminent,"저명한, 탁월한"
emission,"배기가스, 방출"
emphasis,"강조, 중점"
emphasize,강조하다
emphatic,"단호한, 강한"
employ,고용하다
employee,"직원, 고용인"
employer,고용주
employment,고용
empower,~에게 권한을 부여하다
empty,텅 빈
empty a trash can,휴지통을 비우다
enable,(무엇을) 가능하게 하다
enactment,"입법, 법령"
enclose,"~을 동봉하다,~을 둘러싸다, 에워싸다"
enclosed,동봉된
enclosure,"동봉(한 것), 동봉물, 둘러쌈"
encompass,"포함하다, 둘러싸다"
encounter,"(우연히) 만나다, (문제에) 부닥치다"
encourage,"장려하다, 북돋아주다"
encouragement,격려
encouraging,"고무적인, 힘을 북돋아 주는"
end up,결국 ~이 되다
endangered,멸종 위기에 처한
endless,"끝이 없는, 영원히 계속하는"
endorse,"(공개적으로) 지지하다, 보증하다"
endorsement,(공개적인) 지지
endurance,인내력
endure,"견디다, 참다"
energetic,활동적인
energy drink,에너지 음료
energy efficiency,에너지 효율
energy source,에너지원
enforce,"(법률을) 시행하다, 집행하다"
engage,"관여하다, 종사하다"
engineering,공학
enhance,"(질 등을) 향상시키다, 높이다, 강화하다"
enhancement,"상승, 향상"
enjoyable,"재미있는, 즐거운"
enlarge,"확장하다, 확대하다"
enlightening,"계몽적인, 깨우치는"
enormous,거대한
enough,"충분한, 필요한 만큼의 수 〮 양"
enroll,등록하다
ensure,"확실하게 하다, 보장하다"
entail,"~을 수반하다, ~을 유발하다"
enter into,"~에 들어가다, 참가하다"
enterprise,"기업, 사업"
entertain,"즐겁게 하다, 대접하다, 환대하다"
enthuse,열변을 토하다
enthusiastic,열렬한
enthusiastically,"열광적으로, 매우 열심히"
entire,전체의
entirely,완전히
entitle,자격을 주다
entrepreneur,사업가
entry,"(경기 등의) 참가자, 출품물"
entry fee,참가비용
envelope,봉투
environmental,환경적인
environmental regulations,환경 규제
envision,"(장래의 일 등을) 계획하다, 상상하다"
epidemic,전염성의
equality,"같음, 평등, 대등"
equip,"갖추다, 설비하다"
equipment,"장비, 설비"
equivalent,"~에 상당하는, 맞먹는"
era,시대
eradicate,"근절하다, 뿌리뽑다"
erect,"똑바로 선, 세우다"
errand,심부름
escape,"달아나다, 벗어나다"
escort,"호위하다, 호위대"
especially,특히
essential,"필수적인, 극히 중요한, 본질적인"
establish,설립하다
established,"확고한, 정평이 있는"
estimate,"추정하다, 추산하다, 추정(치), 추산"
estimated,"견적의, 추측의"
ethical,"윤리적인, 도덕에 관계된"
evacuate,(집·장소에서) 대피하다
evaluate,평가하다
evaluation,평가
even now,"아직까지도, 지금도"
even out,"~을 고르게 하다, 을 균등하게 나누다"
even though,비록~일지라도
evening news,저녁 뉴스
evenly,"고르게, 균등하게"
eventually,"결국, 마침내"
every hour on the hour,매정시에
every other day,"격일로, 이틀에 한 번"
evidence,증거
evident,"분명한, 명백한"
evoke,(기억 등을) 일깨우다
evolve,"서서히 발달하다, 진화하다"
exactly,정확히
exaggerate,과장하다
examination,"진찰, 검사"
examine,조사하다
excavation,발굴
exceed,~을 초과하다
excel,"(남을)능가하다, ~보다 낫다"
excellence,"우수, 탁월성"
excellent,"훌륭한, 탁월한"
excellently,뛰어나게
except for,~을 제외하고
exception,예외
exceptional,"뛰어난, 예외적인"
excerpt,"발췌, 인용구"
excess,"초과, 초과량"
excessive,"지나친, 과도한"
exchange,"교환, 교환하다"
exchange rate,환율
excited,"신이 난, 들뜬"
exclude,"제외하다, 배제하다"
excluding,~을 제외하고
exclusion,"제외, 배제"
exclusive,"독점적인, 배타적인"
exclusively,"오로지, 독점적으로"
excursion,소풍
excuse,"변명, 이유, 용서하다"
executive,"경영의, 관리의"
exemplary,"모범적인, 대표적인"
exemplify,"예증하다, ~의 좋은 예가 되다"
exempt,"면제된, ~이 없는"
exercise one's right,권리를 행사하다
exert pressure on,~에 압력을 행사하다
exhale,숨을 내쉬다
exhibit,"전시회, 전시하다"
exhibition,전시회
exhibitor,(전시회의) 출품자
exhilarating,아주 신나는
existing,"기존의, 현행의"
exit,출구
exorbitant price,터무니없이 비싼 가격
exotic,"이국적인, 매혹적인"
expand,"확장하다, 확대하다"
expand into,~으로 확장하다
expansion,"확장, 팽창"
expatriate,국적을 상실한 사람
expect,"예상하다, 기대하다"
expectancy,"기대,예상"
expectant,기대하고 있는
expectation,"예상, 기대"
expected,예상되는
expedite,"신속히 처리하다, 진척시키다"
expenditure,"지출, 비용"
expense,"비용, 지출"
experience,"경험, 체험, 체험하다, 경험하다"
experienced,"경험이 있는, 노련한, 능숙한"
experienced employee,경력이 있는 직원
experiment,실험
expert,"전문가, 전문가의, 전문적인"
expertise,"전문 지식, 전문 기술"
expiration,"(기간·임기 등의) 만료, 만기"
expiration date,만기일
expire,(계약 등이)만료되다
explain,설명하다
explain to,~을 설명하다
exploit,"착취하다, 부당하게 이용하다"
exploration,"탐사, 탐구"
explore,"조사하다, 탐구하다"
export,"수출하다, 수출"
exposed,"노출된, 드러난"
exposition,"박람회, 전시회"
exposure,노출
express,표현하다
express mail,급행 우편
expressive,(생각·감정을) 나타내는
expressly,"분명히, 명확히"
exquisite,"정교한, 우아한"
extend,"연장하다, (기간을)늘리다,
(감사의 뜻을)말하다, 베풀다"
extend an invitation,초대하다
extended,"(기간 등을)연장한, 장기간에 걸친"
extension,"연장, 연기, (전화의) 내선"
extensive,"광범위한, 넓은"
exterior,"외부의, 외관"
externally,"외부에서, 외부적으로"
extinction,멸종
extra,추가의
extra charge,추가 비용
extra pay,추가급여
extraordinary,"이례적인,훌륭한"
extraordinary feat,놀랄만한 업적
extravagance,"사치품, 낭비"
extremely,"극도로, 대단히"
fabric,"섬유, 천"
fabricate,제작하다
fabulous,굉장히 좋은
face,"표면, 외관, (문제 등에) 직면하다, 향하다, 마주보다"
face away from,~으로부터 고개를 돌리다
face to face,서로 얼굴을 맞대고
facilitate,"가능하게 하다, 촉진하다"
facilitator,"조력자, 협력자"
facility,시설
faction,"파벌, 당파"
factor,"요소, 원인"
factory,공장
factually,사실상
fade,"바래다, 희미해지다"
failure,"(기계 따위의) 고장, 파손"
faintly,희미하게
fair,"공정한,타당한"
fairly,"상당히, 꽤"
faithfully,충실하게; 정확히
fake,"위조의, 모조품"
fall,(값·가치가)하락하다
fall behind,뒤처지다
familiar,"익숙한,친숙한"
familiarize oneself with,"~에 정통하다, 익숙하다"
family-run,가족이 운영하는
far from,결코 -이 아닌
fare,교통 요금
fascinating,"매혹적인, 황홀한"
fashion,"방법, 방식"
fashion photographer,패션 사진작가
fast-growing,급성장하는
fasten,"매다, 잠그다"
fasten the strap,끈을 조이다
fatigue,피로
faucet,수도꼭지
faulty,결함이 있는
favor,"호의, 친절"
favorable,호의적인
favorably,"호의적으로, 순조롭게"
favored,호의를 사고 있는
fax,팩스
feasibility study,"예비 조사, 타당성 조사"
feasible,실행 가능한
feature,"특징, 특색, 특징으로 삼다, 특별히 포함하다"
featured speaker,특별 연사
federal,연방의
fee,"요금, 수수료"
feedback,"의견, 반응"
feel sick,"몸이 찌뿌드드하다, 메스껍다"
fence,울타리
ferry,여객선
fertile,"비옥한, 기름진"
festive,축제의
festivity,"축제, 축하행사"
fever,열
fictitious,"허구의, 지어낸"
figure,"총액, 합계 수"
figure out,~을 알아내다
figures,"액수, 값"
file,"서류, (서류를) 정리하다, 철하다, 정식으로 제기하다"
file folder,서류철
file for bankruptcy,파산 신청을 하다
filing cabinet,서류 정리 캐비닛
fill,"~을 채우다, (주문대로) 이행하다"
fill in for,"~를 대신하다, ~의 일을 대신봐주다"
fill out/in,"(서류에) 기입하다, 적어 넣다"
fill with,~으로 가득차다
film festival,영화제
film footage,자료 화면
film studio,영화 제작사
final,"마지막의,결정적인"
finalize,"마무리 짓다, 완결하다"
finally,"결국, 마침내"
financial,"재정의, 금전상의"
financial history,신용거래실적
financial statement,재무제표
financier,재정가; 재무관
find out,찾아내다
findings,조사 결과
fine,벌금
finely,"곱게, 정교하게"
finish,"끝내다, 완료하다"
fire,해고하다
fire alarm,화재경보기
fire extinguisher,소화기
fireplace,(벽)난로
firewood,장작
firm,회사
first aid,응급처치
first class,(비행기의) 일등석
first priority,최우선 사항
first step,첫 단계
firsthand,직접적인
fiscal,"회계의, 재정상의"
fishing,낚시
fit,"(치수가)~에 꼭 맞다, ~에 적합하다"
fitness,건강 상태
fitted,"꼭 맞게 만들어진, 갖추어진"
fitting room,탈의실
fixed price,정가
fixture,붙박이 가구
flammable,타기 쉬운
flash,"번쩍임, 섬광"
flat,"일률적인, 바람이 빠진, 아파트"
flatter,"아첨하다, 듣기 좋은 칭찬을 하다"
flavor,"맛, 풍미"
flawed,결함이 있는
flawless,결점 없는
fleetingly,아주 잠깐
flexible,"융통성 있는, 유연한, 잘 구부러지는"
flextime,자율 근무 시간제
flight,"비행, 항공편, (비행기) 여행"
flight attendant,승무원
float,(물에) 뜨다
flock,"떼 지어가다, 모이다, 무리, 떼"
flod in half,반으로 접다
flood,홍수
floor,바닥
floor manager,매장감독
floor plan,(건물등의) 평면도
flooring,바닥재
flourish,"번창하다, 융성하다"
flow,"(공급·생산품의) 흐름, 이동, 흐르다"
flow chart,작업 공정도
flower arrangement,꽃꽃이
flower bed,화단
fluctuation,"변동, 오르내림"
fluency,유창함
fluent in,~에 능숙한
fluently,유창하게
fluid,"액체, 마실 것"
focus,"집중시키다, 집중하다"
focus group,표적 집단
focus on,~에 집중하다
foil,좌절시키다
fold,접다
fold up,접어 개다
folder,서류철
follow,"~을 따라가다, 주시하다, (분명히) 이해하다"
follow up on,~에 대해 후속조치를 하다
follow-up,"후속의, 추가의"
followed by,"뒤이어, 잇달아"
following,"~후에, 다음의, 다음에 오는"
following week,다음 주
food poisoning,식중독
food supplier,음식 공급업체
footpath,"보도, 오솔길"
footrest(=footstool),발받침
for a short time,잠깐 동안
for ages,오랫동안
for business,사업상
for change,기분 전환으로
for free,무료로
for large purchases,대량 구매에 대해서
for lease,(집을) 내놓은
for now,"우선은, 당분간은"
for sale,팔려고 내놓은
for the benefit of,~의 이익을 위해
for the sake of,~을 위하여
for your own safety,여러분 자신의 안전을 위해
forage,찾아다니다
forbid,금지하다
force,세력
forecast,(날씨의) 예보
foreign currency,외화
foreign trade,해외 무역
foremost,"선두의, 으뜸가는"
forerunner,선구자
foresee,"예견하다, 예감하다"
foreseeable,예견할 수 있는
forfeit,(벌로써 권리·재산 등을) 몰수당하다
forge,위조하다
forgery,위조하다
forgetfully,"깜빡 잊어서,소홀하게도"
form,"종류, 유형, 양식"
formal,격식을 갖춘
formality,"형식상의 절차, 형식적인 일"
formally,"정식으로, 공식적으로"
former,예전의
formerly,이전에
forthcoming,다가오는
fortify,"강화하다, 튼튼히 하다"
fortnight,2주간
fortunate,운 좋은
fortunately,"다행스럽게도, 운 좋게도"
